bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Fazenda Gameleira,-16.7143758,-49.1825947,8611.93,7708.04,-3831.4
Fazenda João Vaz,-16.6573037,-49.3133417,6703.41,-6210.87,2511.19
Fazenda Petrópolis - Residencial Monte Verde,-16.7163429,-49.2600725,4088.12,-540.0,-4050.01
Fazenda Retiro,-16.6270793,-49.1888122,9176.82,7046.14,5870.12
Fazenda Salinos,-16.6798192,-49.2682357,1409.85,-1409.03,8.98
Fazenda Santa Rita,-16.7155001,-49.3620185,12065.98,-11392.85,-3956.34
Fazenda Santa Rita - Conjunto Residencial Alto Oriente,-16.7155001,-49.3620185,12065.98,-11392.85,-3956.34
Fazenda São Domingos,-16.5393364,-49.3113616,16744.05,-6000.08,15621.25
Fazenda São José,-16.6903443,-49.3801788,13383.69,-13326.14,-1160.71
Fazenda São José - Residencial Celeste,-16.6903443,-49.3801788,13383.69,-13326.14,-1160.71
Fazenda Vau das Pombas,-16.7455349,-49.378839,15073.28,-13183.51,-7294.2
Feliz,-16.6587806,-49.2271373,3784.68,2966.17,2347.06
Floresta,-16.585051,-49.3310566,13300.24,-8096.75,10540.85
Goiá,-16.6881433,-49.3344466,8511.67,-8457.63,-916.1
Goiá 2,,,,,
Goiá IV,-16.6872928,-49.3399045,9080.81,-9038.66,-821.58
Goiânia 2,-16.6273405,-49.2511995,5858.36,404.59,5841.09
Granja Cruzeiro do Sul,-16.6408126,-49.2828756,5263.88,-2967.55,4343.9
Industrial Mooca,-16.6763191,-49.31900760000001,6829.53,-6814.05,397.96
Ipiranga,-16.6629777,-49.32598300000001,7791.79,-7556.63,1880.63
Jardim Abaporu,-16.6541209,-49.1847363,8014.86,7480.05,2864.91
Jardim Alphaville,-16.7351079,-49.3799125,14651.37,-13297.79,-6135.42
Jardim América,-16.7124336,-49.2866779,4946.73,-3372.33,-3615.56
Jardim Ana Lúcia,-16.6992527,-49.31203300000001,6444.53,-6071.55,-2150.72
Jardim Aritana,-16.7192038,-49.3735653,13362.72,-12622.09,-4367.95
Jardim Atlântico,-16.7328214,-49.291748,7067.22,-3912.08,-5881.31
Jardim Balneário Meia Ponte,-16.6156407,-49.29808629999999,8492.64,-4586.83,7141.33
Jardim Bela Vista,-16.7372641,-49.2347348,6733.83,2157.37,-6375.04
