rua,bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Alameda Imbé,Vila Divino Pai Eterno,-16.7294101,-49.271724,5786.23,-1780.38,-5502.2
Alameda Josefina Magalhães de Carvalho,Residencial Humaitá,-16.6265083,-49.273367,6251.01,-1955.29,5933.58
Alameda Juazeiro do Norte,Parque Amazônia,-16.7305688,-49.281295,6291.73,-2799.28,-5630.97
Alameda LB15,Jardim Leblon II,-16.6762679,-49.3246834,7433.46,-7418.27,403.65
Alameda Leger,Setor Gentil Meireles,-16.6494372,-49.2812728,4393.93,-2796.92,3385.42
Alameda Leopoldo de Bulhões,Setor Pedro Ludovico,-16.7107973,-49.2511954,3459.44,405.03,-3433.71
Alameda Licardino de Oliveira Ney,Setor Faiçalville,-16.7459444,-49.312145,9537.75,-6083.48,-7339.71
Alameda Lucy Rassi de Oliveira,Setor Faiçalville,-16.7476576,-49.3071911,9362.66,-5556.1,-7530.1
Alameda Maracanã,Setor Jaó,-16.6461609,-49.228337,4705.52,2838.46,3749.53
Alameda Marginal Botafogo,Setor Leste Vila Nova,-16.6678451,-49.2508346,1411.97,443.44,1339.7
Alameda Marginal Botafogo,Setor Sul,-16.6886645,-49.2449573,1447.07,1069.11,-974.02
Alameda Matisse,Setor Gentil Meireles,-16.6560224,-49.286015,4238.46,-3301.76,2653.59
Alameda Mediterrânea,Jardim Pampulha,-16.6812339,-49.2937196,4126.92,-4121.97,-148.24
Alameda Minas Gerais,Jardim Guanabara,-16.6192543,-49.2188485,7765.79,3848.57,6739.74
Alameda Moisés Santana,Jardim Atlântico,-16.7207876,-49.2413099,4774.57,1457.4,-4543.96
Alameda Nadir Bufaiçal,Setor Faiçalville,-16.7454067,-49.314808,9676.08,-6366.97,-7279.95
Alameda P 2,Setor Marechal Rondon,-16.6671274,-49.2744751,2514.08,-2073.26,1419.46
Alameda P 2,Setor dos Funcionários,-16.6704863,-49.276568,2524.63,-2296.06,1046.17
Alameda Pampulha,Setor Jaó,-16.6532924,-49.2306932,3931.63,2587.63,2956.98
Alameda Paraná,Setor Jaó,-16.6450449,-49.2232517,5143.85,3379.82,3873.55
Alameda Parque Taquaral,Residencial Goiânia Viva,-16.6973852,-49.3479895,10093.46,-9899.37,-1943.18
Alameda Pedro Primeiro,Setor Faiçalville,-16.7289561,-49.3199423,8808.69,-6913.55,-5451.75
Alameda Perimetral,Setor Criméia Leste,-16.6542288,-49.2571097,2863.34,-224.59,2852.92
Alameda Porto Primavera,Residencial Buena Vista I,-16.7302196,-49.4107543,17506.42,-16581.11,-5592.17
Alameda Presidente Baldomir,Jardim Presidente,-16.7327007,-49.3241365,9417.35,-7360.05,-5867.9
Alameda Presidente Jefferson,Setor Faiçalville,-16.747424,-49.3195359,10178.99,-6870.29,-7504.14
Alameda Presidente Solano Lopes,Setor Faiçalville,-16.7375583,-49.3245131,9793.45,-7400.14,-6407.74
Alameda Professor Hélio Franca,Setor Faiçalville,-16.7463225,-49.3059631,9165.58,-5425.37,-7381.73
Alameda Ricardo Paranhos,Setor Marista,-16.7024862,-49.2579757,2531.39,-316.78,-2510.07
Alameda Rio Araguaia,Conjunto Residencial Aruanã I,-16.6885535,-49.2055142,5358.03,5268.1,-961.69
Alameda Salinas,Residencial Buena Vista III,-16.7291253,-49.3975449,16137.99,-15174.88,-5470.55
Alameda Santa Efigênia,Residencial Santa Efigênia,-16.695307,-49.4179045,17435.64,-17342.3,-1712.23
Alameda Santa Rita,Setor Novo Horizonte,-16.7040293,-49.3513251,10604.57,-10254.47,-2681.56
Alameda Santa Rita,Solange Park II,-16.7040293,-49.3513251,10604.57,-10254.47,-2681.56
Alameda Santino Lira Pedrosa,Setor Faiçalville,-16.7446548,-49.3209392,10057.83,-7019.68,-7196.39
Alameda Soneca,Jardim Ipanema,-16.7642371,-49.3601341,14604.62,-11192.24,-9372.63
Alameda Vale das Brisas,Residencial Vale das Brisas,-16.716877,-49.0691658,20215.0,19783.32,-4109.36
Alameda Veneza,Residencial Granville,-16.711777,-49.3315006,8885.48,-8144.01,-3542.59
Alameda Vitória Régia,Goiânia 2,-16.6313702,-49.246135,5478.28,943.74,5393.26
Alameda Zuleica Costa Rodrigues,Residencial Buena Vista I,-16.726419,-49.3997195,16257.92,-15406.38,-5169.79
Alameda da Liberdade,Setor Jaó,-16.6484087,-49.2345785,4122.39,2174.01,3499.72
Alameda da Mata,Residencial Brisas da Mata,-16.6021662,-49.3105567,10475.93,-5914.39,8638.79
Alameda da Mata,Residencial Recanto do Bosque,-16.6010087,-49.3126605,10709.36,-6138.35,8767.42
Alameda da República,Setor Jaó,-16.6447605,-49.2324819,4584.9,2397.21,3905.16
Alameda das Acácias,Residencial Aldeia do Vale,-16.6116837,-49.1855809,10593.93,7390.14,7581.08
Alameda das Amendoeiras,Jardim Florença,-16.723238,-49.3128824,7824.71,-6161.98,-4816.28
Alameda das Amendoeiras,Residencial Aldeia do Vale,-16.6171458,-49.1883599,9954.57,7094.29,6974.06
Alameda das Azaléias,Jardim Florença,-16.7219238,-49.3128228,7730.53,-6155.63,-4670.23
Alameda das Azaléias,Sítios de Recreio dos Bandeirantes,-16.6062926,-49.3868476,16257.23,-14036.08,8180.21
Alameda das Begônias,Jardins Milão,-16.7288945,-49.1978922,8165.31,6079.52,-5444.9
Alameda das Betúnias,Sítios de Recreio dos Bandeirantes,-16.6153857,-49.3795724,15085.97,-13261.58,7169.66
Alameda das Buganvilias,Goiânia 2,-16.6356454,-49.2505666,4943.5,471.97,4918.14
Alameda das Caraíbas,Residencial Aldeia do Vale,-16.6134924,-49.1970302,9626.35,6171.28,7380.07
Alameda das Chácaras,Chácaras Dona Gê,-16.7062732,-49.3218007,7695.54,-7111.39,-2930.93
Alameda das Chácaras,Jardim Guanabara,-16.6187406,-49.2189802,7808.54,3834.55,6796.82
Alameda das Chácaras,Vila Luciana,-16.7053924,-49.321721,7650.88,-7102.91,-2833.05
Alameda das Delênias,Residencial Aldeia do Vale,-16.6193515,-49.2001822,8912.55,5835.73,6728.93
Alameda das Espatódias,Residencial Aldeia do Vale,-16.6181299,-49.1891611,9816.99,7009.0,6864.69
Alameda das Figueiras,Jardim Florença,-16.7263918,-49.3154753,8258.9,-6438.01,-5166.77
Alameda das Flores,Village Casa Grande,-16.6131856,-49.2677062,7540.8,-1352.66,7414.17
Alameda das Mangubas,Residencial Aldeia do Vale,-16.6112222,-49.2001363,9616.71,5840.62,7632.37
Alameda das Mansões,Jardim Leblon,-16.6721054,-49.3262587,7639.68,-7585.98,866.24
Alameda das Mansões,Residencial Cidade Verde,-16.6721074,-49.3262575,7639.53,-7585.85,866.01
Alameda das Monções,Capuava,-16.6590738,-49.3214704,7449.64,-7076.23,2314.48
Alameda das Paineiras,Jardim Florença,-16.7220294,-49.3139305,7831.86,-6273.55,-4681.96
Alameda das Quaresmeiras,Jardim Florença,-16.7253103,-49.3134312,8013.97,-6220.4,-5046.58
Alameda das Rosas,Setor Oeste,-16.6810948,-49.2719192,1807.05,-1801.16,-132.78
Alameda das Sibipirunas,Residencial Aldeia do Vale,-16.6104214,-49.1890224,10444.72,7023.77,7721.36
Alameda das Sibipirunas,Sítio de Recreio Mansões Bernardo Sayão,-16.6104214,-49.1890224,10444.72,7023.77,7721.36
Alameda do Bosque,Jardins Munique,-16.7203824,-49.20291950000001,7143.55,5544.33,-4498.93
Alameda do Botafogo,Setor Central,-16.6755234,-49.2505136,682.06,477.61,486.38
Alameda do Capim,Residencial Recanto do Bosque,-16.6102072,-49.3020338,9228.35,-5007.07,7745.17
Alameda dos Buritis,Setor Central,-16.6787619,-49.2623877,797.02,-786.47,126.48
Alameda dos Buritis,Setor Sul,-16.6820224,-49.2601491,597.08,-548.16,-235.87
Alameda dos Bálsamos,Jardins Verona,-16.7199757,-49.2132885,6292.34,4440.47,-4453.73
Alameda dos Carvalhos,Jardim Florença,-16.7255823,-49.3160017,8246.96,-6494.05,-5076.81
Alameda dos Cedros,Jardim Florença,-16.723101,-49.3135802,7874.1,-6236.26,-4801.05
Alameda dos Ciprestes,Jardim Florença,-16.7241522,-49.3126209,7865.97,-6134.14,-4917.88
Alameda dos Eucaliptos,Jardim Florença,-16.724595,-49.3134037,7961.82,-6217.47,-4967.09
Alameda dos Eucaliptos,Setor Barra da Tijuca,-16.6570674,-49.3610142,11574.78,-11285.94,2537.45
Alameda dos Flamboyants,Jardim Florença,-16.7275874,-49.31309,8148.22,-6184.08,-5299.64
Alameda dos Ipês,Jardim Florença,-16.7268306,-49.3131845,8101.41,-6194.14,-5215.54
Alameda dos Jacarandás,Jardim Florença,-16.7261361,-49.3131006,8045.02,-6185.21,-5138.35
Alameda dos Jatobás,Jardim Florença,-16.7255596,-49.3102866,7774.84,-5885.64,-5074.29
Alameda dos Pinheiros,Jardim Florença,-16.72685,-49.3118671,7996.01,-6053.89,-5217.69
Alameda dos Pinheiros,Residencial Aldeia do Vale,-16.7268098,-49.311046,7927.03,-5966.48,-5213.22
Alameda dos Umbus,Residencial Aldeia do Vale,-16.6112079,-49.1806649,11002.63,7913.48,7633.96
Alameda dos Álamos,Sítios de Recreio dos Bandeirantes,-16.6081313,-49.3780675,15348.86,-13101.38,7975.87
Alameda Áries,Goiânia 2,-16.6560224,-49.286015,4238.46,-3301.76,2653.59
Avenida,Setor Marista,-16.7227308,-49.2394527,5042.21,1655.12,-4759.91
Avenida 1,Residencial Goiânia Golfe Clube,-16.7114099,-49.234602,4122.64,2171.51,-3501.79
Avenida 136,Setor Marista,-16.6981692,-49.258671,2068.73,-390.8,-2030.31
Avenida 136,Setor Sul,-16.6972354,-49.2545467,1928.21,48.26,-1926.53
Avenida 15 de Novembro,Loteamento Grande Retiro,-16.8243414,-49.2753279,16206.34,-2164.04,-16052.2
Avenida 2,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Avenida 24 de Outubro,Aeroviário,-16.6657271,-49.3043951,5492.52,-5258.45,1575.08
Avenida 24 de Outubro,Setor Campinas,-16.6677209,-49.2950203,4472.89,-4260.43,1353.5
Avenida 3,Residencial Goiânia Golfe Clube,-16.7427469,-49.1582032,12454.14,10304.68,-6984.36
Avenida 4,Residencial Goiânia Golfe Clube,-16.7258127,-49.2404388,5335.61,1550.14,-5102.41
Avenida 85,Setor Bela Vista,-16.7101831,-49.2638358,3496.36,-940.63,-3365.45
Avenida 85,Setor Bueno,-16.7072186,-49.2640925,3188.32,-967.96,-3036.0
Avenida 85,Setor Marista,-16.7007935,-49.2642296,2522.67,-982.55,-2321.96
Avenida A,Jardim Goiás,-16.6958795,-49.2414146,2291.5,1446.26,-1775.85
Avenida A,Setor Oeste,-16.6782618,-49.2678782,1383.78,-1370.97,182.06
Avenida A,Vila Lucy,-16.6951735,-49.3109763,6199.32,-5959.06,-1697.39
Avenida A,Vila Monticelli,-16.6545433,-49.2507233,2856.1,455.28,2817.96
Avenida A,Água Branca,-16.6958795,-49.2414146,2291.5,1446.26,-1775.85
Avenida A1,Jardins Atenas,,,,,
Avenida A2,Jardins Atenas,-16.6143496,-49.3450102,12044.92,-9582.2,7284.81
