rua,bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Avenida Parque Cidade,Parque Cidade,-16.6997927,-49.2055105,5716.46,5268.5,-2210.73
Avenida Pará,Setor Campinas,-16.6691361,-49.2886506,3778.98,-3582.34,1196.22
Avenida Pedro I,Jardim Vila Boa,-16.7315317,-49.3224288,9194.13,-7178.26,-5737.98
Avenida Pedro Ludovico,Conjunto Romildo Ferreira do Amaral,-16.6883746,-49.2982076,4697.69,-4599.74,-941.81
Avenida Pedro Ludovico,Setor Sudoeste,-16.6903575,-49.3010203,5037.81,-4899.18,-1162.17
Avenida Pedro Ludovico Teixeira,Jardim Vila Boa,-16.7289561,-49.3199423,8808.69,-6913.55,-5451.75
Avenida Pedro Ludovico Teixeira,Parque Oeste Industrial,-16.6975985,-49.3294444,8169.74,-7925.12,-1966.89
Avenida Pedro Paulo de Souza,Goiânia 2,-16.6306562,-49.2541708,5476.37,88.27,5472.61
Avenida Pedro Álvares Cabral,Setor Jaó,-16.640594,-49.224795,5427.31,3215.53,4368.19
Avenida Perim,Residencial Itamaracá,-16.6462739,-49.3004728,6119.23,-4840.89,3736.97
Avenida Perim,Setor Perim,-16.6469728,-49.2983536,5893.53,-4615.29,3659.3
Avenida Perimetral,Setor Bueno,-16.6872827,-49.2811004,2898.73,-2778.57,-820.46
Avenida Perimetral,Setor Campinas,-16.6744713,-49.2826348,3004.85,-2941.91,603.31
Avenida Perimetral,Setor Centro Oeste,-16.6744713,-49.2826348,3004.85,-2941.91,603.31
Avenida Perimetral,Setor Coimbra,-16.6834977,-49.2880259,3540.43,-3515.83,-399.82
Avenida Perimetral,Setor dos Funcionários,-16.6715392,-49.2845607,3283.14,-3146.94,929.16
Avenida Perimetral,Vila Monticelli,-16.6489089,-49.2518769,3462.07,332.48,3444.13
Avenida Perimetral Norte,Condomínio Alto da Boa Vista,-16.6434294,-49.3051018,6703.07,-5333.68,4053.09
Avenida Perimetral Norte,Fazenda Caveiras,-16.6376989,-49.2841708,5628.2,-3105.43,4689.93
Avenida Perimetral Norte,Fazenda Criméia Caveiras,-16.6376989,-49.2841708,5628.2,-3105.43,4689.93
Avenida Perimetral Norte,Jardim Diamantina,-16.6308159,-49.2765946,5922.91,-2298.89,5454.86
Avenida Perimetral Norte,Parque Industrial Paulista,-16.6532269,-49.3304566,8567.65,-8032.87,2964.26
Avenida Perimetral Norte,Setor Cândida de Morais,-16.650619,-49.3261627,8250.2,-7575.76,3254.08
Avenida Perimetral Norte,Setor Empresarial,-16.6461116,-49.3091797,6886.68,-5767.8,3755.0
Avenida Perimetral Norte,Setor Progresso,-16.6441528,-49.291214,5539.14,-3855.23,3972.69
Avenida Perimetral Norte,Vila João Vaz,-16.6481041,-49.3111331,6946.61,-5975.75,3533.57
Avenida Perimetral Norte,Zona Industrial Pedro Abrão,-16.6376989,-49.2841708,5628.2,-3105.43,4689.93
Avenida Perimetral Oeste,Jardim Bonanza,-16.6564166,-49.3539391,10857.93,-10532.74,2609.78
Avenida Perimetral Oeste,Residencial Dom Rafael,-16.6971602,-49.3414053,9401.14,-9198.44,-1918.18
Avenida Perimetral Oeste,Residencial Nunes de Morais 1ª Etapa,-16.7221352,-49.2776015,5277.31,-2406.08,-4693.72
Avenida Pindorama,Residencial Antônio Carlos Pires,-16.5419385,-49.2714873,15440.88,-1755.19,15332.07
Avenida Pio Correia,Jardim Mariliza,-16.7334092,-49.1995004,8386.85,5908.31,-5946.64
Avenida Pio XII,Vila Aurora Oeste,-16.6770694,-49.3069775,5545.43,-5533.36,314.57
Avenida Piratininga,Parque Amazônia,-16.7231825,-49.2769752,5351.7,-2339.41,-4810.11
Avenida Piratininga,Serrinha,-16.7274352,-49.2709593,5552.24,-1698.98,-5282.73
Avenida Pires,Residencial Antônio Carlos Pires,-16.5389441,-49.2664121,15720.68,-1214.9,15664.85
Avenida Pires Fernandes,Setor Aeroporto,-16.6713688,-49.2712088,1969.98,-1725.54,948.1
Avenida Planalto,Jardim Bela Vista,-16.7335004,-49.2417712,6124.35,1408.3,-5956.77
Avenida Planície,Village Atalaia,-16.5926827,-49.2591301,9708.1,-439.68,9692.72
Avenida Platina,Condomínio das Esmeraldas,-16.7891538,-49.3571416,16306.02,-10873.67,-12141.7
Avenida Porto Dourado,Residencial Porto Dourado,-16.7963672,-49.3603026,17130.34,-11210.18,-12943.34
Avenida Porto Salinas,Residencial Buena Vista I,-16.7286955,-49.4026815,16638.03,-15721.71,-5422.79
Avenida Porto Salinas,Residencial Buena Vista II,-16.7286955,-49.4026815,16638.03,-15721.71,-5422.79
Avenida Porto Salinas,Residencial Buena Vista III,-16.7286955,-49.4026815,16638.03,-15721.71,-5422.79
Avenida Porto Salinas,Residencial Buena Vista IV,-16.7286955,-49.4026815,16638.03,-15721.71,-5422.79
Avenida Portugal,Setor Marista,-16.6925661,-49.26988,2120.27,-1584.08,-1407.62
Avenida Portugal,Setor Oeste,-16.6887868,-49.2703012,1905.96,-1628.92,-987.62
Avenida Presidente Bernardes,Jardim Presidente,-16.7359815,-49.3293892,10082.33,-7919.24,-6232.5
Avenida Presidente Dutra,Jardim Presidente,-16.7441675,-49.3306798,10771.64,-8056.63,-7142.24
Avenida Presidente Kennedy,Vila Jardim Pompéia,-16.6113803,-49.2437345,7712.99,1199.29,7614.8
Avenida Presidente Kubitschek,Jardim Presidente,-16.7430545,-49.3293972,10587.35,-7920.09,-7018.55
Avenida Presidente Prudente,Jardim Presidente,-16.7472405,-49.3289199,10864.7,-7869.28,-7483.75
Avenida Presidente Tancredo Neves,Setor Três Marias,-16.7439251,-49.3396039,11483.35,-9006.66,-7115.3
Avenida Presidente Venceslau,Jardim Presidente,-16.7453724,-49.329338,10755.36,-7913.79,-7276.14
Avenida Primeira Avenida,Setor Leste Universitário,-16.6779333,-49.2445709,1132.19,1110.25,218.57
Avenida Primeira Avenida,Setor Leste Vila Nova,-16.6754326,-49.2453763,1139.11,1024.51,496.48
Avenida Primeira Radial,Setor Pedro Ludovico,-16.7120785,-49.2535694,3581.33,152.3,-3576.09
Avenida Professor Venerando de Freitas Borges,Setor Jaó,-16.6503056,-49.2339507,3982.06,2240.84,3288.91
Avenida Prudente de Moraes,Anhanguera,-16.7213741,-49.3043518,6992.53,-5253.84,-4609.14
Avenida Prudente de Morais,Parque Anhanguera II,-16.7213741,-49.3043518,6992.53,-5253.84,-4609.14
Avenida Puerta Del Sol,Jardins Madri,-16.748523,-49.3434301,12120.86,-9413.99,-7626.28
Avenida Pérola,Residencial Park Solar,-16.6252017,-49.3574155,12491.24,-10902.83,6078.78
Avenida Quarta Radial,Jardim das Esmeraldas,-16.7208556,-49.2592813,4576.83,-455.77,-4551.52
Avenida Quarta Radial,Setor Pedro Ludovico,-16.7168034,-49.2556678,4104.09,-71.09,-4101.18
Avenida Quatro de Outubro,Jardim Nova Esperança,-16.6452602,-49.322481,8155.38,-7183.81,3849.62
Avenida Quinta Avenida,Setor Leste Vila Nova,-16.6638023,-49.2457194,2044.83,987.98,1788.98
Avenida Quitandinha,Setor Jaó,-16.6498883,-49.2257035,4569.02,3118.81,3335.29
Avenida Quito Junqueira,Jardim Petrópolis,-16.6551162,-49.3376212,9222.44,-8795.59,2754.3
Avenida Quito Junqueira,Parque Industrial Paulista,-16.6551162,-49.3376212,9222.44,-8795.59,2754.3
Avenida R 1,Setor Oeste,-16.678208,-49.2773174,2384.61,-2375.84,188.04
Avenida R 11,Setor Oeste,-16.6874443,-49.2741015,2200.74,-2033.49,-838.42
Avenida R 9,Setor Oeste,-16.682802,-49.2761784,2278.79,-2254.59,-322.51
Avenida RI 31,Residencial Itaipu,-16.7881436,-49.3718331,17310.38,-12437.68,-12029.43
Avenida RPS 1,Residencial Porto Seguro,-16.7132858,-49.335597,9352.48,-8580.1,-3710.26
Avenida Rainha-dos-Lagos,Residencial Jardins do Cerrado 3,-16.6714862,-49.4269408,18338.76,-18304.27,935.05
Avenida Raposo Tavares,Capuava,-16.6580689,-49.3160686,6943.34,-6501.17,2426.15
Avenida Raposo Tavares,Vila João Vaz,-16.6546806,-49.3161017,7087.15,-6504.69,2802.71
Avenida Ravena,Residencial Eldorado,-16.7108463,-49.3291379,8613.46,-7892.49,-3439.15
Avenida Ravena,Residencial Granville,-16.7107887,-49.3294669,8643.05,-7927.51,-3432.75
Avenida Ravena,Residencial Porto Seguro,-16.7100243,-49.3340505,9061.36,-8415.47,-3347.8
Avenida Real Conquista,Residencial Real Conquista,-16.7813114,-49.3848908,17845.91,-13827.76,-11270.15
Avenida República do Líbano,Setor Aeroporto,-16.6724658,-49.2693892,1741.42,-1531.83,826.18
Avenida República do Líbano,Setor Marechal Rondon,-16.6655493,-49.2704355,2291.22,-1643.21,1594.84
Avenida República do Líbano,Setor Oeste,-16.6833482,-49.2658018,1212.76,-1149.93,-383.21
Avenida Resende,Residencial Cidade Verde,-16.669686,-49.3343986,8533.38,-8452.52,1135.11
Avenida Rezende,São Francisco,-16.6660025,-49.3257041,7688.31,-7526.94,1544.47
Avenida Rio Bonito,Alphaville Flamboyant Residencial Araguaia,-16.7007941,-49.2180506,4570.11,3933.52,-2322.02
Avenida Rio Branco,Panorama Parque,-16.6450519,-49.2750625,4425.23,-2135.79,3872.77
Avenida Rio Branco,Setor Jaó,-16.6425979,-49.2305793,4896.1,2599.75,4145.49
Avenida Rio Branco,Setor Urias Magalhães,-16.6399089,-49.2728487,4836.25,-1900.12,4444.33
Avenida Rio Negro,Parque Amazônia,-16.7335475,-49.2756122,6356.43,-2194.31,-5962.01
Avenida Rio Verde,Jardim Presidente,-16.7462463,-49.2977871,8671.18,-4554.98,-7373.26
Avenida Rio Verde,Setor Faiçalville,-16.7503158,-49.3173344,10265.25,-6635.92,-7825.52
Avenida Rio Verde,Setor Pedro Ludovico,-16.7462463,-49.2977871,8671.18,-4554.98,-7373.26
Avenida Rio Verde,Vila Rosa,-16.7468516,-49.2948614,8569.97,-4243.52,-7440.53
Avenida Rio Vermelho,Jardim Itaipu,-16.7843325,-49.3632114,16359.37,-11519.84,-11605.89
Avenida Rio Vermelho,Residencial Ana Clara,-16.7824277,-49.3659101,16415.29,-11807.14,-11394.21
Avenida Rita Caetano,Residencial Forteville Extensão,-16.7473866,-49.3724218,14583.91,-12500.35,-7499.99
Avenida Rita Caetano,Residencial Santa Fé,,,,,
Avenida Rita Caetano,Residencial Santa Fé I,-16.7530012,-49.3778515,15402.65,-13078.38,-8123.95
Avenida Roma,Jardim Europa,-16.7092181,-49.3201253,7664.26,-6933.03,-3258.21
Avenida Roma,Residencial Eldorado,-16.7071026,-49.3279927,8342.06,-7770.57,-3023.11
Avenida Rondônia,Goiânia 2,-16.6188749,-49.2490509,6815.21,633.32,6781.9
Avenida Rondônia,Vila Jardim São Judas Tadeu,-16.6154552,-49.2501546,7184.5,515.83,7161.94
Avenida Roosevelt,Jardim Novo Mundo,-16.6831214,-49.2285596,2839.0,2814.76,-358.0
Avenida Rosenthal,Jardim Mariliza,-16.7328978,-49.1944419,8736.41,6446.82,-5889.8
Avenida Rubi,Condomínio das Esmeraldas,-16.7893839,-49.353162,16045.86,-10450.02,-12167.27
Avenida Rui Barbosa,Setor Jaó,-16.6411266,-49.2303117,5050.24,2628.24,4309.0
Avenida SB A,Loteamento Portal do Sol I,-16.7201604,-49.1842579,8764.03,7530.98,-4474.26
Avenida SB B,Loteamento Portal do Sol II,-16.7185688,-49.1852972,8579.03,7420.34,-4297.38
Avenida Samambaia,Chácaras de Recreio Samambaia,-16.5878872,-49.2850347,10720.09,-3197.4,10225.65
Avenida Samambaia,Residencial Orlando Morais,-16.5882056,-49.2845272,10670.24,-3143.37,10190.27
Avenida Santa Bárbara,Loteamento Portal do Sol I,-16.7169248,-49.184928,8523.32,7459.64,-4114.68
Avenida Santa Maria,Condomínio Residencial Santa Rita,-16.6784849,-49.3284381,7823.96,-7817.99,157.26
Avenida Santa Maria,Parque Amazônia,-16.734619,-49.2797129,6629.33,-2630.86,-6081.08
Avenida Santa Maria,Parque Goiá Condomínio Clube,-16.6786996,-49.3292839,7913.59,-7908.03,133.4
Avenida Santa Maria,Residencial Cidade Verde,-16.6712949,-49.3308189,8132.61,-8071.44,956.31
Avenida Santa Maria,São Francisco,-16.6741089,-49.3296467,7977.24,-7946.65,643.58
Avenida Santa Rita,Parque Flamboyant,-16.7398218,-49.2185554,7711.05,3879.78,-6659.29
Avenida Santo Antônio,Setor São José,-16.6605552,-49.3065078,5893.28,-5483.36,2149.84
Avenida Santos Dumont,Santa Genoveva,-16.6328435,-49.2284205,5949.44,2829.57,5229.53
Avenida Sebastiana Soares Faria,Fazenda Santa Rita - Conjunto Residencial Alto Oriente,-16.7155001,-49.3620185,12065.98,-11392.85,-3956.34
Avenida Sebastiana Soares Faria,Residencial Fidelis,-16.7461963,-49.3698562,14281.58,-12227.23,-7367.7
Avenida Sebastiana Soares Faria,Residencial Forteville Extensão,-16.7470166,-49.3686115,14215.86,-12094.72,-7458.87
Avenida Sebastião Júlio de Aguiar,Parque Oeste Industrial,-16.6917983,-49.3260301,7680.43,-7561.64,-1322.29
Avenida Segunda Radial,Setor Pedro Ludovico,-16.7135879,-49.2511417,3768.4,410.74,-3743.84
Avenida Segunda Radial,Vila Redenção,-16.7142926,-49.2429077,4035.33,1287.31,-3822.15
Avenida Senador Canedo,Conjunto Vera Cruz,-16.6629214,-49.3855843,14037.5,-13901.59,1886.88
Avenida Senador Péricles,Setor Negrão de Lima,-16.6544832,-49.2409613,3197.48,1494.52,2824.64
Avenida Sergipe,Setor Campinas,-16.6648278,-49.2929423,4375.34,-4039.22,1675.02
Avenida Sergipe,Vila Abajá,-16.6648278,-49.2929423,4375.34,-4039.22,1675.02
Avenida Seringueiras,Parque Santa Rita,-16.7339216,-49.3668607,13342.03,-11908.34,-6003.58
Avenida Seringueiras,Residencial Forteville,-16.7453783,-49.3730001,14523.58,-12561.92,-7276.8
Avenida Seringueiras,Residencial Santa Fé,-16.7391665,-49.3700172,13909.53,-12244.37,-6586.46
Avenida Seringueiras,Residencial Santa Fé I,-16.750734,-49.3766327,15160.12,-12948.63,-7871.99
Avenida Sexta Avenida,Setor Leste Universitário,-16.6853132,-49.2392796,1779.35,1673.54,-601.58
Avenida Simon Bolívar,Jardim Novo Mundo,-16.6732855,-49.2165349,4162.72,4094.87,735.09
Avenida Sol Nascente,Residencial Jardins do Cerrado 7,-16.6710397,-49.4380057,19518.4,-19482.21,984.67
Avenida Solar,Setor Urias Magalhães,-16.6379869,-49.2722583,5010.04,-1837.26,4657.93
Avenida Sonnemberg,Setor Castelo Branco,-16.6837435,-49.2999287,4804.63,-4782.97,-427.14
Avenida Sucuri,Santa Genoveva,-16.6398754,-49.2324875,5055.55,2396.61,4448.05
Avenida Sucuri,Setor Jaó,-16.6402412,-49.2328758,5000.15,2355.27,4407.4
Avenida São Bento,Jardim Vitória,-16.727834,-49.2138342,6901.52,4382.38,-5327.05
Avenida São Carlos,Jardim Planalto,-16.7143826,-49.3020099,6306.38,-5004.53,-3832.15
Avenida São Clemente,Setor São José,-16.6593948,-49.2972056,5040.95,-4493.07,2278.8
Avenida São Domingos,Fazenda São Domingos,-16.6150887,-49.3538401,12759.87,-10522.2,7202.67
Avenida São Domingos,Residencial Green Park,-16.6165702,-49.3566267,12915.34,-10818.86,7038.03
Avenida São Domingos,Vila Mutirão I,-16.6150887,-49.3538401,12759.87,-10522.2,7202.67
Avenida São Francisco,Santa Genoveva,-16.6331309,-49.2363145,5568.43,1989.2,5197.59
Avenida São Francisco de Assis,Residencial Santa Fé,-16.7533977,-49.3755413,15217.85,-12832.45,-8168.02
Avenida São Francisco de Assis,Residencial Santa Fé I,-16.7533977,-49.3755413,15217.85,-12832.45,-8168.02
Avenida São João,Alto da Glória,-16.7130225,-49.240392,3998.2,1555.12,-3681.0
Avenida São João,Vila Maria José,-16.7132882,-49.2400148,4041.12,1595.28,-3710.53
Avenida São João,Vila São João,-16.7082105,-49.2418313,3446.31,1401.9,-3146.23
Avenida São Luiz,Condomínio Santa Rita - 6ª Etapa,-16.7313169,-49.340937,10791.43,-9148.58,-5714.11
Avenida São Luiz,Moinho dos Ventos,-16.7331464,-49.3421018,11004.9,-9272.58,-5917.43
Avenida São Luiz,Parque Amazônia,-16.7350831,-49.2843864,6888.13,-3128.38,-6132.66
Avenida São Luiz,Residencial Canadá,-16.7289599,-49.3401155,10579.88,-9061.13,-5452.17
Avenida São Luiz,Vila João Vaz,-16.6537386,-49.315609,7081.38,-6452.24,2907.39
Avenida São Paulo,Jardim das Esmeraldas,-16.7257109,-49.2615901,5142.07,-701.56,-5091.1
Avenida T,Jardim Europa,-16.6684547,-49.2931774,4261.12,-4064.25,1271.95
Avenida T,Jardim Planalto,-16.6684547,-49.2931774,4261.12,-4064.25,1271.95
Avenida T,Setor Bela Vista,-16.7114099,-49.234602,4122.64,2171.51,-3501.79
Avenida T,Setor Bueno,-16.6738353,-49.2556925,678.39,-73.72,673.99
Avenida T 1,Setor Bueno,-16.696769,-49.274558,2803.2,-2082.08,-1874.7
Avenida T 10,Setor Bueno,-16.7061272,-49.2689968,3275.27,-1490.06,-2914.71
Avenida T 10,Setor Marista,-16.7028047,-49.2645521,2742.58,-1016.89,-2545.47
Avenida T 11,Setor Bueno,-16.7064538,-49.2672456,3227.88,-1303.63,-2951.0
Avenida T 12,Setor Bueno,-16.7094397,-49.2676004,3548.25,-1341.4,-3282.83
Avenida T 13,Setor Bela Vista,-16.7190445,-49.2610131,4399.53,-640.14,-4350.24
Avenida T 13,Setor Bueno,-16.7191838,-49.2638226,4468.08,-939.23,-4365.72
Avenida T 14,Serrinha,-16.7203275,-49.2656937,4637.37,-1138.42,-4492.83
Avenida T 14,Setor Bela Vista,-16.7201537,-49.2609747,4521.01,-636.05,-4473.51
Avenida T 14,Setor Bueno,-16.7202725,-49.2640016,4590.45,-958.28,-4486.72
Avenida T 15,Nova Suiça,-16.7164576,-49.2700942,4371.37,-1606.88,-4062.75
Avenida T 15,Parque Amazônia,-16.7250386,-49.2694888,5251.04,-1542.43,-5016.39
Avenida T 15,Setor Bueno,-16.7092685,-49.2723996,3754.82,-1852.31,-3263.81
Avenida T 2,Setor Bueno,-16.697717,-49.2766244,3038.08,-2302.07,-1980.06
Avenida T 3,Setor Bueno,-16.7027203,-49.2764951,3417.67,-2288.3,-2536.09
Avenida T 3,Vila Americano do Brasil,-16.6918671,-49.2854636,3507.02,-3243.06,-1329.94
Avenida T 32,Vila Santa Efigênia,-16.688437,-49.2900678,3853.94,-3733.21,-948.74
Avenida T 4,Serrinha,-16.7192839,-49.266686,4552.72,-1244.05,-4376.85
Avenida T 4,Setor Bueno,-16.7100584,-49.2670868,3592.07,-1286.72,-3351.59
Avenida T 5,Nova Suiça,-16.7158849,-49.2691057,4274.08,-1501.65,-3999.11
Avenida T 5,Serrinha,-16.7196491,-49.268941,4662.63,-1484.11,-4417.43
Avenida T 5,Setor Bueno,-16.7105849,-49.2692949,3736.29,-1521.79,-3410.1
Avenida T 6,Setor Bueno,-16.688189,-49.2808117,2899.69,-2747.83,-921.18
Avenida T 63,Jardim América,-16.7160051,-49.2844058,5091.82,-3130.45,-4012.47
Avenida T 63,Nova Suiça,-16.7155319,-49.2811273,4841.66,-2781.43,-3959.88
Avenida T 63,Setor Bela Vista,-16.7138967,-49.2612211,3837.89,-662.28,-3778.15
Avenida T 63,Setor Bueno,-16.714088,-49.2690195,4084.26,-1492.47,-3799.41
Avenida T 7,Setor Bueno,-16.6927457,-49.2791371,2941.06,-2569.56,-1427.58
Avenida T 7,Setor Oeste,-16.6885354,-49.2734714,2189.27,-1966.41,-959.68
Avenida T 8,Setor Bueno,-16.6967386,-49.2763988,2949.68,-2278.05,-1871.32
Avenida T 8,Setor Marista,-16.6932806,-49.2714311,2297.09,-1749.2,-1487.03
Avenida T 9,Jardim América,-16.7087591,-49.2878809,4749.97,-3500.4,-3207.2
Avenida T 9,Jardim Europa,-16.7124796,-49.3075539,6667.41,-5594.72,-3620.67
Avenida T 9,Jardim Planalto,-16.7120364,-49.3042216,6344.49,-5239.98,-3571.41
Avenida T 9,Setor Bueno,-16.7033223,-49.273978,3296.81,-2020.34,-2602.99
Avenida T 9,Setor Marista,-16.6980316,-49.2668539,2378.85,-1261.93,-2015.02
Avenida T 9,Vila Bela,-16.7107978,-49.2988788,5800.41,-4671.2,-3433.76
Avenida Terceira Radial,Setor Pedro Ludovico,-16.7166893,-49.2518583,4104.45,334.46,-4088.5
Avenida Tocantins,Setor Aeroporto,-16.6721526,-49.2656552,1424.89,-1134.32,860.99
Avenida Tocantins,Setor Central,-16.6767998,-49.260512,680.84,-586.79,344.53
Avenida Topázio,Jardim Califórnia,-16.6829721,-49.2072303,5099.66,5085.41,-341.41
Avenida Torino,Jardim Maria Helena,-16.6550485,-49.1854707,7905.19,7401.87,2761.82
Avenida Toronto,Moinho dos Ventos,-16.7256378,-49.3468852,11028.74,-9781.81,-5082.98
Avenida Toronto,Residencial Canadá,-16.7274268,-49.3444116,10890.75,-9518.48,-5281.79
Avenida Toscana,Jardins Itália,-16.7194275,-49.2163417,6022.5,4115.44,-4392.81
Avenida Totó Bueno,Jardim Balneário Meia Ponte,-16.6117695,-49.2984601,8878.59,-4626.62,7571.54
Avenida Totó Bueno,Setor Alto do Vale,-16.616555,-49.3046284,8807.18,-5283.28,7039.72
Avenida Transbrasiliana,Chácaras Nossa Senhora da Piedade,-16.7253138,-49.2690573,5267.05,-1496.5,-5046.97
Avenida Transbrasiliana,Parque Amazônia,-16.7244346,-49.2704743,5219.07,-1647.35,-4949.26
Avenida Transbrasiliana,Serrinha,-16.7264512,-49.266794,5326.48,-1255.55,-5173.37
Avenida Tremendão,Setor Parque Tremendão,-16.6059501,-49.3289054,11384.62,-7867.74,8218.27
Avenida Trieste,Residencial Granville,-16.7139953,-49.3239985,8269.12,-7345.36,-3789.11
Avenida Trindade,Parque Buriti,-16.6492614,-49.3875858,14528.75,-14114.67,3404.96
Avenida Tropical,Residencial Brisas da Mata,-16.6008129,-49.306172,10346.87,-5447.61,8789.18
Avenida Tupinambás,Jardim Petrópolis,-16.6659808,-49.3542541,10685.24,-10566.28,1546.88
Avenida Tupirama,Loteamento Shangry-Lá,-16.5843776,-49.2642908,10667.63,-989.07,10615.69
Avenida Tupy,Jardim Petrópolis,-16.6689686,-49.3589488,11139.07,-11066.06,1214.84
Avenida Tóquio,Parque João Braz - Cidade Industrial,-16.6952789,-49.3505565,10320.57,-10172.64,-1709.1
Avenida Ubaldina Naves de Brito,Jardim Balneário Meia Ponte,-16.6173257,-49.2913323,7962.07,-3867.82,6954.07
Avenida Uberlândia,Vila Alto da Glória,-16.7196449,-49.2312136,5094.05,2532.22,-4416.97
Avenida Universitária,Setor Leste Universitário,-16.6760024,-49.2403286,1621.74,1561.87,433.15
Avenida Uru,Parque Amazônia,-16.7394764,-49.2726625,6886.48,-1880.29,-6620.9
Avenida VB 35,Residencial Flórida,-16.7180522,-49.3468984,10667.53,-9783.21,-4239.97
Avenida Valdir Camárcio,Residencial Frei Galvão,-16.5927989,-49.2035512,11128.73,5477.08,9679.8
Avenida Vale Verde,Alphaville Flamboyant Residencial Araguaia,-16.7003047,-49.2082889,5468.16,4972.72,-2267.63
Avenida Vale dos Sonhos,São Domingos,-16.5805689,-49.336962,14080.19,-8725.42,11038.96
Avenida Valência,Residencial Sevilha,-16.7439761,-49.3426928,11746.67,-9335.5,-7120.97
Avenida Valência,Setor Três Marias,-16.7444588,-49.3350353,11143.81,-8520.31,-7174.61
Avenida Vasco dos Reis,Jardim Vila Boa,-16.7282463,-49.3203824,8797.1,-6960.4,-5372.87
Avenida Veneza,Jardim Europa,-16.7112113,-49.3149023,7268.21,-6377.01,-3479.72
Avenida Vera Cruz,Jardim Atlântico,-16.6221155,-49.2167862,7606.45,4068.12,6421.76
Avenida Vereador Germino Alves,Setor Leste Vila Nova,-16.6642053,-49.2450217,2043.37,1062.26,1744.2
Avenida Vereda dos Buritis,Moinho dos Ventos,-16.7266127,-49.3494384,11320.03,-10053.61,-5191.32
Avenida Vereda dos Buritis,Residencial Canadá,-16.7221521,-49.3468455,10851.72,-9777.58,-4695.6
Avenida Vereda dos Buritis,Residencial Vereda dos Buritis,-16.7197427,-49.3450663,10566.18,-9588.17,-4427.84
Avenida Vicente Rodrigues,Residencial Buena Vista III,-16.7260074,-49.4057758,16856.71,-16051.12,-5124.05
Avenida Vicente Rodrigues,Residencial Buena Vista IV,-16.7260074,-49.4057758,16856.71,-16051.12,-5124.05
Avenida Vieira Santos,Jardim Itaipu,-16.7877539,-49.3663651,16865.92,-11855.58,-11986.12
Avenida Vieira Santos,Residencial Itaipu,-16.7876123,-49.366279,16848.28,-11846.41,-11970.39
Avenida Vila Rica,Residencial Campos Dourados,-16.8001483,-49.3656852,17823.99,-11783.2,-13363.55
Avenida Vilas Boas,Goiá 2,-16.684923,-49.3251685,7494.82,-7469.92,-558.22
Avenida Ville,Moinho dos Ventos,-16.7295568,-49.3503337,11557.54,-10148.92,-5518.51
Avenida Ville,Residencial Eli Forte,-16.7337577,-49.3484456,11615.0,-9947.92,-5985.37
Avenida Vinicius de Moraes,Residencial Tuzimoto,-16.6778088,-49.3698332,12233.87,-12224.78,232.4
Avenida Virgílio Joaquim Ferreira,Parque Flamboyant,-16.7369717,-49.218431,7445.85,3893.02,-6342.55
Avenida Vital Brasil,Parque Anhanguera,-16.7235207,-49.2944344,6416.05,-4198.06,-4847.7
Avenida Vitória,Vila Rosa,-16.744048,-49.2863294,7874.72,-3335.23,-7128.96
Avenida Volta Redonda,Jardim Novo Mundo,-16.6643576,-49.2111737,4978.03,4665.61,1727.27
Avenida Wagner Estelita Campos,Conjunto Vera Cruz,-16.65488,-49.3909198,14743.48,-14469.59,2780.55
Avenida Wilson,Jardim Novo Mundo,-16.6738353,-49.2556925,678.39,-73.72,673.99
Avenida Xavantes,Jardim Balneário Meia Ponte,-16.615883,-49.2946755,8278.7,-4223.73,7114.4
Avenida Xerentes,Jardim Petrópolis,-16.662866,-49.354132,10728.16,-10553.28,1893.04
Avenida Zorca Vukojicic,Jardim Balneário Meia Ponte,-16.6198189,-49.2934717,7837.71,-4095.58,6676.99
Avenida Zurique,Jardins Zurique,-16.7142185,-49.2178266,5498.87,3957.36,-3813.92
Avenida da Divisa,Vila Santa Helena,-16.6550852,-49.28153,3949.71,-2824.3,2757.74
Avenida da Liberdade,Setor Garavelo,-16.7553492,-49.3499305,13137.34,-10106.0,-8384.89
Avenida da Sede,Residencial Jardim Helou,-16.6222028,-49.3398795,11087.18,-9036.0,6412.06
Avenida da Serrinha,Serrinha,-16.7245876,-49.2670256,5131.44,-1280.21,-4966.26
Avenida da Serrinha,Setor Pedro Ludovico,-16.7264695,-49.2671929,5338.64,-1298.02,-5175.41
Avenida das Américas,Residencial Jardins do Cerrado 4,-16.6677175,-49.4259686,18261.82,-18200.78,1353.88
Avenida das Aroeiras,Jardim das Aroeiras,-16.662312,-49.195605,6622.19,6323.0,1954.61
Avenida das Bandeiras,Jardim Ana Lúcia,-16.7006455,-49.3149657,6790.78,-6383.76,-2305.51
Avenida das Bandeiras,Vila Mauá,-16.6999746,-49.3149675,6766.0,-6383.95,-2230.95
Avenida das Cerâmicas,Jardim Novo Mundo,-16.6775489,-49.1956468,6327.52,6318.55,261.28
Avenida das Espatódias,Jardim da Luz,-16.7266617,-49.2320144,5747.12,2446.97,-5196.77
Avenida das Flores,Setor Recanto das Minas Gerais,-16.6472214,-49.1824167,8543.24,7726.99,3631.67
Avenida das Fontes,Jardim Fonte Nova,-16.6385356,-49.2960232,6344.55,-4367.2,4596.95
