rua,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Alameda Presidente Jefferson,-16.747424,-49.3195359,10178.99,-6870.29,-7504.14
Alameda Presidente Solano Lopes,-16.7375583,-49.3245131,9793.45,-7400.14,-6407.74
Alameda Professor Hélio Franca,-16.7463225,-49.3059631,9165.58,-5425.37,-7381.73
Alameda Ricardo Paranhos,-16.7024862,-49.2579757,2531.39,-316.78,-2510.07
Alameda Rio Araguaia,-16.6885535,-49.2055142,5358.03,5268.1,-961.69
Alameda Salinas,-16.7288461,-49.3974757,16120.56,-15167.51,-5439.52
Alameda Santa Efigênia,-16.695307,-49.4179045,17435.64,-17342.3,-1712.23
Alameda Santa Rita,-16.7040293,-49.3513251,10604.57,-10254.47,-2681.56
Alameda Santino Lira Pedrosa,-16.7446548,-49.3209392,10057.83,-7019.68,-7196.39
Alameda Soneca,-16.7642371,-49.3601341,14604.62,-11192.24,-9372.63
Alameda Vale das Brisas,-16.722155,-49.3381584,10025.87,-8852.78,-4695.92
Alameda Veneza,-16.711777,-49.3315006,8885.48,-8144.01,-3542.59
Alameda Vitória Régia,-16.6313702,-49.246135,5478.28,943.74,5393.26
Alameda Zuleica Costa Rodrigues,-16.726419,-49.3997195,16257.92,-15406.38,-5169.79
Alameda da Liberdade,-16.6484087,-49.2345785,4122.39,2174.01,3499.72
Alameda da Mata,-16.6010087,-49.3126605,10709.36,-6138.35,8767.42
Alameda da República,-16.6447605,-49.2324819,4584.9,2397.21,3905.16
Alameda das Acácias,-16.6116837,-49.1855809,10593.93,7390.14,7581.08
Alameda das Amendoeiras,-16.6171458,-49.1883599,9954.57,7094.29,6974.06
Alameda das Azaléias,-16.7219238,-49.3128228,7730.53,-6155.63,-4670.23
Alameda das Begônias,-16.7288945,-49.1978922,8165.31,6079.52,-5444.9
Alameda das Betúnias,-16.6157218,-49.3799045,15099.4,-13296.94,7132.31
Alameda das Buganvilias,-16.6356454,-49.2505666,4943.5,471.97,4918.14
Alameda das Caraíbas,-16.6134924,-49.1970302,9626.35,6171.28,7380.07
Alameda das Chácaras,-16.7053924,-49.321721,7650.88,-7102.91,-2833.05
Alameda das Delênias,-16.6193515,-49.2001822,8912.55,5835.73,6728.93
Alameda das Espatódias,-16.6181299,-49.1891611,9816.99,7009.0,6864.69
Alameda das Figueiras,-16.7263918,-49.3154753,8258.9,-6438.01,-5166.77
Alameda das Flores,-16.6131856,-49.2677062,7540.8,-1352.66,7414.17
Alameda das Mangubas,-16.7358521,-49.2009151,8478.6,5757.71,-6218.12
Alameda das Mansões,-16.6721074,-49.3262575,7639.53,-7585.85,866.01
Alameda das Monções,-16.6590738,-49.3214704,7449.64,-7076.23,2314.48
Alameda das Paineiras,-16.711706,-49.2352367,4115.67,2103.94,-3534.69
Alameda das Quaresmeiras,-16.7251277,-49.3139669,8045.65,-6277.43,-5026.29
Alameda das Rosas,-16.6810948,-49.2719192,1807.05,-1801.16,-132.78
Alameda das Sibipirunas,-16.7258624,-49.3106213,7823.82,-5921.27,-5107.94
Alameda do Bosque,-16.7232756,-49.1964918,7879.89,6228.6,-4820.46
Alameda do Botafogo,-16.6758251,-49.2504826,660.94,480.91,452.86
Alameda do Capim,-16.6103208,-49.3023968,9238.82,-5045.71,7732.54
Alameda dos Buritis,-16.679081,-49.2620499,756.43,-750.51,91.02
Alameda dos Bálsamos,-16.7205333,-49.2132692,6337.84,4442.53,-4515.7
Alameda dos Carvalhos,-16.7242345,-49.3155173,8114.48,-6442.48,-4927.02
Alameda dos Cedros,-16.7231349,-49.313483,7868.2,-6225.92,-4804.82
Alameda dos Ciprestes,-16.723851,-49.3134974,7918.3,-6227.45,-4884.4
Alameda dos Eucaliptos,-16.6570674,-49.3610142,11574.78,-11285.94,2537.45
Alameda dos Flamboyants,-16.6090268,-49.2021758,9683.84,5623.5,7876.35
Alameda dos Ipês,-16.7264798,-49.3142067,8160.18,-6302.96,-5176.55
Alameda dos Jacarandás,-16.7258059,-49.3140758,8102.0,-6289.02,-5101.66
Alameda dos Jatobás,-16.7258497,-49.3102683,7794.47,-5883.69,-5106.53
Alameda dos Pinheiros,-16.7268098,-49.311046,7927.03,-5966.48,-5213.22
Alameda dos Umbus,-16.6112079,-49.1806649,11002.63,7913.48,7633.96
Alameda dos Álamos,-16.6081176,-49.3780067,15344.12,-13094.9,7977.39
Alameda Áries,-16.6560224,-49.286015,4238.46,-3301.76,2653.59
Avenida,-16.7114099,-49.234602,4122.64,2171.51,-3501.79
Avenida 1,-16.6568225,-49.2525355,2579.49,262.36,2564.67
Avenida 136,-16.69829,-49.2586344,2081.19,-386.91,-2043.74
Avenida 15 de Novembro,-16.8243414,-49.2753279,16206.34,-2164.04,-16052.2
Avenida 2,,,,,
Avenida 24 de Outubro,-16.6677209,-49.2950203,4472.89,-4260.43,1353.5
Avenida 3,-16.6630047,-49.2285132,3389.65,2819.7,1877.62
Avenida 4,-16.6304614,-49.2450584,5598.41,1058.35,5494.26
Avenida 85,-16.6945703,-49.2636579,1873.88,-921.69,-1630.35
Avenida A,-16.6958795,-49.2414146,2291.5,1446.26,-1775.85
Avenida A1,-16.7316133,-49.2084964,7589.13,4950.63,-5747.05
Avenida A2,,,,,
Avenida Abaeté,-16.747748,-49.3108171,9604.83,-5942.11,-7540.15
Avenida Abel Soares de Castro,-16.7442203,-49.3173154,9756.81,-6633.9,-7148.1
Avenida Acary Passos,-16.6816543,-49.2020688,5641.38,5634.89,-194.96
Avenida Ademar Vicente Ferreira,-16.7186499,-49.391438,15156.74,-14524.76,-4306.39
Avenida Aderup,-16.6868929,-49.3145807,6393.65,-6342.77,-777.14
Avenida Afonso Pena,-16.6195354,-49.2531654,6715.08,195.31,6708.5
Avenida Albert Einstein,-16.7288561,-49.234749,5855.36,2155.86,-5440.64
Avenida Alexandre de Morais,-16.7383587,-49.2737879,6801.3,-2000.1,-6496.69
Avenida Alfredo Nasser,-16.6580437,-49.3865305,14220.15,-14002.32,2428.96
Avenida Alphaville,-16.7277984,-49.3746063,13807.03,-12732.91,-5323.09
Avenida Alphaville Flamboyant,-16.7046038,-49.207053,5798.71,5104.29,-2745.41
Avenida Altamiro de Moura Pacheco,-16.6844299,-49.3102677,5908.35,-5883.62,-503.42
Avenida Alvicto Ozório Nogueira,-16.6123258,-49.220381,8370.25,3685.43,7509.72
Avenida Americano do Brasil,-16.7275532,-49.3698379,13329.07,-12225.28,-5295.84
Avenida Anglo,-16.6219305,-49.3209617,9535.69,-7022.07,6442.32
Avenida Angélica,-16.7326686,-49.2290479,6485.99,2762.78,-5864.33
Avenida Anhanguera,-16.675312,-49.2796278,2672.44,-2621.8,509.88
Avenida Antônio Barbosa,-16.592037,-49.2673695,9858.4,-1316.82,9764.47
Avenida Antônio Crispim,-16.7488352,-49.3768132,15068.11,-12967.85,-7660.97
Avenida Antônio Fidelis,-16.7340088,-49.275513,6400.98,-2183.75,-6013.27
Avenida Antônio Martins Borges,-16.7214659,-49.2550207,4621.92,-2.2,-4619.34
Avenida Antônio Perilo,-16.6236947,-49.2868167,7109.71,-3387.11,6246.26
Avenida Anápolis,-16.6581502,-49.1827604,8066.22,7690.4,2417.12
Avenida Araguaia,-16.670311,-49.253868,1073.04,120.51,1065.65
Avenida Arapoema,-16.5839015,-49.268926,10777.17,-1482.52,10668.6
Avenida Araxá,-16.6968023,-49.3115885,6313.56,-6024.23,-1878.4
Avenida Areião,-16.7047872,-49.2526615,2778.52,248.95,-2765.79
Avenida Aristóteles,-16.7352469,-49.2003093,8473.57,5822.2,-6150.86
Avenida Armando de Godoy,-16.657386,-49.2456531,2694.17,995.04,2502.05
Avenida Arno,-16.6014719,-49.2444414,8793.06,1124.04,8715.95
Avenida Aruanã,-16.7340317,-49.2354298,6369.81,2083.38,-6015.82
Avenida Arumã,-16.7288818,-49.274574,5831.86,-2083.79,-5443.49
Avenida Ary José Cascão,-16.5992362,-49.3817055,16207.22,-13488.67,8964.41
Avenida Assis Chateaubriand,-16.6862008,-49.2687963,1627.98,-1468.71,-700.23
Avenida Augusto Severo,-16.6896339,-49.3328803,8365.62,-8290.89,-1081.76
