rua,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Praça C113,-16.7142728,-49.2809455,4716.41,-2762.08,-3819.95
Praça C164,-16.7174157,-49.2853511,5277.44,-3231.08,-4169.23
Praça C170,-16.7214272,-49.286379,5700.12,-3340.51,-4615.04
Praça C201,-16.7000746,-49.2832841,3756.05,-3011.04,-2242.06
Praça C232,-16.7092509,-49.2784425,4109.21,-2495.61,-3261.85
Praça C8,-16.6970696,-49.3015179,5309.79,-4952.15,-1908.11
Praça Comendador Germano Roriz,,,,,
Praça Coronel Inácio Elias Bufaiçal,-16.7384256,-49.2806726,7058.77,-2733.02,-6504.12
Praça Coronel Lima,,,,,
Praça Coronel Vicente Sanches de Almeida,-16.647635,-49.258918,3611.9,-417.1,3585.7
Praça Dom Prudêncio Gomes de Oliveira,-16.6498767,-49.2667186,3564.19,-1247.53,3336.58
Praça Dona Ernestina,-16.6852934,-49.3556183,10734.09,-10711.51,-599.38
Praça Doutor Pedro Ludovico Teixeira,-16.6807385,-49.2560805,148.12,-115.03,-93.18
Praça E,-16.7150312,-49.2740942,4404.07,-2032.71,-3904.23
Praça Francisco Alves de Oliveira,-16.7324502,-49.272183,6123.18,-1829.25,-5840.06
Praça Genoveva Rezende Carneiro,-16.7187568,-49.22189530000001,5576.71,3524.22,-4318.27
Praça Gilson Alves de Souza,-16.69212,-49.2778981,2791.91,-2437.66,-1358.04
Praça Gonçalves Ledo,-16.6559725,-49.2806393,3812.9,-2729.48,2659.13
Praça J. Muniz Rezende,-16.6792563,-49.2566467,189.44,-175.3,71.54
Praça J7,-16.734884,-49.3266247,9775.89,-7624.94,-6110.53
Praça Jaspe,-16.7588917,-49.2044919,10299.57,5376.93,-8778.58
Praça Largo das Canárias,-16.8020255,-49.3097886,14779.88,-5832.62,-13572.17
Praça Liberdade,-16.7575213,-49.3506822,13353.82,-10186.02,-8626.28
Praça Maria Imaculada,-16.710546,-49.24175,3688.34,1410.55,-3405.78
Praça Odarcino Dutra de Oliveira,-16.7187568,-49.22189530000001,5576.71,3524.22,-4318.27
Praça Paris,-16.7129178,-49.3158366,7447.38,-6476.47,-3669.37
Praça Pindorama,-16.685943,-49.2284856,2903.01,2822.64,-671.58
Praça Presidente Bernardes,-16.7367582,-49.3273646,9968.33,-7703.71,-6318.82
Praça Quinze de Agosto,-16.7437482,-49.285953,7827.57,-3295.16,-7095.64
Praça Santa Cruz,-16.6503523,-49.229213,4282.59,2745.2,3283.72
Praça Santos Dumont,-16.6710825,-49.2689116,1776.84,-1480.98,979.91
Praça Senador José Rodrigues de Morais Filho,-16.7291057,-49.278445,6014.25,-2495.88,-5468.37
Praça Senador Morais Filho,-16.7291057,-49.278445,6014.25,-2495.88,-5468.37
Praça Sete,-16.6847693,-49.3229802,7261.12,-7236.96,-541.14
Praça São Paulo,-16.6589791,-49.3391795,9263.81,-8961.48,2325.0
Praça T 19,-16.6945169,-49.2770408,2855.34,-2346.39,-1624.42
Praça T 23,-16.7024984,-49.2684767,2893.9,-1434.69,-2511.43
Praça T 25,-16.7118208,-49.2653857,3717.8,-1105.63,-3547.45
Praça Ubim,-16.7266667,-49.284876,6096.45,-3180.5,-5197.32
Praça Universitária,-16.6773716,-49.2436835,1237.75,1204.72,280.99
Praça Uru,-16.7377809,-49.2734007,6727.8,-1958.88,-6432.48
Praça Uxi,-16.7290669,-49.2818373,6169.18,-2857.01,-5464.06
Praça Vinte e Um de Setembro,-16.7447212,-49.2922919,8229.53,-3969.98,-7203.77
Praça Vitória Régia,-16.7239458,-49.3805025,14235.54,-13360.6,-4894.94
Praça da Bandeira,-16.8013204,-49.2444528,13547.96,1122.82,-13493.81
Praça da Bíblia,-16.6719672,-49.2367634,2133.43,1941.41,881.6
Praça do Expedicionário,-16.624305,-49.2311422,6683.97,2539.83,6178.44
Praça dos Esportes,-16.7075787,-49.2488531,3146.59,654.38,-3076.02
Rodovia BR-060,-16.622333,-49.2355633,6727.73,2069.17,6397.59
Rodovia BR-153,-16.6674786,-49.2258115,3402.13,3107.32,1380.43
Rodovia GIN10,-16.5985392,-49.2838171,9553.65,-3067.78,9041.87
Rodovia GO-020,-16.715076,-49.2031731,6765.22,5517.33,-3909.21
Rodovia GO-040,-16.7906934,-49.3553125,16305.68,-10678.95,-12312.8
Rodovia GO-060,-16.6579101,-49.3730314,12808.54,-12565.25,2443.8
Rodovia GO-070,-16.6213219,-49.3561829,12594.42,-10771.61,6509.96
Rodovia GO-080,-16.6195305,-49.2440872,6812.71,1161.74,6709.04
Rodovia GO-462,-16.6010124,-49.2790001,9136.96,-2554.97,8767.01
Rodovia R2,-16.6086435,-49.2559921,7924.07,-105.62,7918.95
Rua,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua 04,-16.610326,-49.2098601,9109.14,4805.45,7731.96
Rua 1,-16.6659489,-49.2871668,3761.22,-3424.38,1550.43
Rua 1 A,-16.6726311,-49.2647928,1319.61,-1042.51,807.81
Rua 1 Unidade 201,-16.7480967,-49.2007693,9532.01,5773.23,-7578.9
Rua 1 Unidade 203,-16.7460282,-49.1960067,9671.61,6280.24,-7349.02
Rua 1 Unidade 205,-16.7424154,-49.1919435,9665.35,6712.8,-6947.52
Rua 1 da Quadra 4,-16.5841791,-49.2787668,10940.74,-2530.14,10637.75
Rua 1-A,-16.6726311,-49.2647928,1319.61,-1042.51,807.81
Rua 1-B,-16.7553329,-49.3451216,12746.24,-9594.06,-8383.08
Rua 10,-16.6717505,-49.2258767,3231.81,3100.37,905.68
Rua 10 Unidade 203,-16.7436662,-49.1955605,9505.08,6327.74,-7086.53
Rua 100,-16.6832551,-49.2589243,560.27,-417.77,-372.86
Rua 1001,-16.7052245,-49.2508052,2851.18,446.57,-2814.39
Rua 1002,-16.7070172,-49.2517202,3035.46,349.16,-3013.61
Rua 1004,-16.7024672,-49.2477773,2624.63,768.91,-2507.96
Rua 1006,-16.7038154,-49.2484869,2748.26,693.36,-2657.79
Rua 1007,-16.7060827,-49.2499753,2960.16,534.91,-2909.76
Rua 1010,-16.7054885,-49.2461632,2996.94,940.74,-2843.73
Rua 1011,-16.7076856,-49.2452716,3258.74,1035.65,-3087.9
Rua 1012,-16.7096191,-49.2464171,3428.72,913.71,-3302.77
Rua 1013,-16.7081904,-49.2468591,3263.06,866.65,-3144.0
Rua 1014,-16.7080652,-49.2475587,3230.56,792.18,-3130.08
Rua 1018,-16.7098219,-49.2472004,3429.3,830.32,-3325.31
Rua 1019,-16.7101724,-49.24942,3418.2,594.03,-3364.26
Rua 102,-16.6854249,-49.2509546,750.39,430.66,-614.0
Rua 1020,-16.7108572,-49.2495352,3491.14,581.77,-3440.37
Rua 1022,-16.7121667,-49.2481117,3662.13,733.31,-3585.89
Rua 1023,-16.7118803,-49.2505759,3587.13,470.98,-3554.07
Rua 1024,-16.7105809,-49.2565119,3415.36,-160.95,-3409.66
Rua 1025,-16.7112747,-49.2566508,3493.14,-175.74,-3486.76
Rua 1027,-16.7127073,-49.2579247,3661.28,-311.35,-3645.97
Rua 1028,-16.7109229,-49.2564911,3453.24,-158.74,-3447.67
Rua 1029,-16.7120871,-49.2560149,3580.67,-108.04,-3577.05
Rua 1030,-16.7131584,-49.2563619,3701.01,-144.98,-3696.1
Rua 1031,-16.712714,-49.2556741,3649.46,-71.76,-3646.72
Rua 1032,-16.739518,-49.2003157,8824.05,5821.52,-6625.52
Rua 1033,-16.7148774,-49.2562945,3891.75,-137.81,-3887.14
Rua 1034,-16.71541,-49.2569805,3954.16,-210.84,-3946.33
Rua 1035,-16.7154363,-49.2577129,3962.01,-288.81,-3949.25
Rua 1036,-16.7154256,-49.2573493,3958.18,-250.1,-3948.06
Rua 1037,-16.7158438,-49.2557494,3997.57,-79.78,-3994.54
Rua 1038,-16.7171742,-49.2576441,4154.26,-281.48,-4142.39
Rua 104,-16.6864648,-49.253961,738.31,110.61,-729.57
Rua 1040,-16.716673,-49.2565363,4092.24,-163.55,-4086.69
Rua 1041,-16.7172722,-49.2549505,4155.6,5.27,-4153.28
Rua 1044,-16.7172872,-49.2532817,4161.29,182.92,-4154.95
Rua 1045,-16.7188076,-49.2519023,4338.89,329.77,-4323.92
Rua 1047,-16.7202383,-49.2527712,4491.69,237.27,-4482.91
Rua 104C,-16.6874551,-49.2551882,840.33,-20.04,-839.62
Rua 104D,-16.688248,-49.2561334,936.07,-120.66,-927.74
Rua 105,-16.6891678,-49.2588987,1111.05,-415.04,-1029.96
Rua 1050,-16.7235003,-49.2538659,4849.64,120.73,-4845.43
Rua 1051,-16.7217152,-49.2525843,4656.75,257.17,-4647.05
Rua 1052,-16.7225255,-49.2538714,4741.26,120.15,-4737.1
Rua 1053,-16.7219569,-49.2563234,4678.64,-140.88,-4673.91
Rua 1054,-16.7231413,-49.2571846,4813.84,-232.57,-4805.53
Rua 1056,-16.7137588,-49.2482173,3833.61,722.06,-3762.83
Rua 1057,-16.715863,-49.2491627,4046.94,621.42,-3996.67
Rua 1058,-16.7162557,-49.2485212,4101.04,689.71,-4040.32
Rua 105B,-16.6893368,-49.2586683,1119.71,-390.52,-1048.74
Rua 105D,-16.6896074,-49.260498,1228.04,-585.3,-1078.81
Rua 1060,-16.7169311,-49.2472339,4199.92,826.75,-4115.38
Rua 1064,-16.718002,-49.2504988,4263.79,479.18,-4234.39
Rua 1065,-16.7140311,-49.2418682,4044.72,1397.97,-3793.09
Rua 1067,-16.7133364,-49.241209,3997.59,1468.15,-3715.89
Rua 107,-16.6894895,-49.2520577,1111.4,313.23,-1065.71
Rua 1084,-16.7224028,-49.2408151,4961.69,1510.08,-4723.46
Rua 1086,-16.7225724,-49.2405159,4989.42,1541.93,-4742.31
Rua 109,-16.6920058,-49.2495419,1466.28,581.05,-1345.35
Rua 1095,-16.7308824,-49.2650873,5769.88,-1073.86,-5665.82
Rua 1097,-16.7291384,-49.2645261,5568.27,-1014.12,-5472.01
Rua 1098,-16.728892,-49.2664078,5581.5,-1214.44,-5444.63
Rua 11,-16.7416781,-49.1942862,9433.84,6463.4,-6865.58
Rua 11 A,-16.6732848,-49.267,1474.76,-1277.48,735.17
Rua 11 Unidade 101,-16.7416781,-49.1942862,9433.84,6463.4,-6865.58
Rua 11 Unidade 203,-16.7451823,-49.1963643,9575.43,6242.17,-7255.01
Rua 11 Unidade 205,-16.7416781,-49.1942862,9433.84,6463.4,-6865.58
Rua 11 de Junho,-16.6392327,-49.2951992,6227.9,-4279.48,4519.48
Rua 1103,-16.7267388,-49.2638515,5292.87,-942.3,-5205.33
Rua 1104,-16.72604,-49.2638941,5217.25,-946.84,-5127.67
Rua 1105,-16.7253341,-49.2639357,5140.9,-951.27,-5049.23
Rua 1107,-16.7258407,-49.2633407,5185.03,-887.92,-5105.53
Rua 111,-16.7069924,-49.2318061,3895.9,2469.15,-3010.86
Rua 1111,-16.7220826,-49.2609314,4732.84,-631.44,-4687.88
Rua 1116,-16.6460533,-49.3445527,10255.22,-9533.5,3761.48
Rua 111A,-16.6917122,-49.2481326,1503.4,731.08,-1312.72
Rua 112,-16.6911897,-49.2467484,1532.45,878.44,-1254.66
Rua 1121,-16.7091736,-49.2622388,3345.14,-770.62,-3253.26
Rua 1122,-16.7062856,-49.262375,3037.28,-785.12,-2932.31
Rua 1123,-16.7064936,-49.2631759,3082.63,-870.38,-2955.43
Rua 1124,-16.7066378,-49.2623571,3074.64,-783.21,-2971.45
Rua 1125,-16.7064285,-49.2615657,3031.59,-698.96,-2948.19
Rua 1126,-16.7025266,-49.2625348,2640.86,-802.13,-2514.56
Rua 1127,-16.7007053,-49.2627356,2455.78,-823.51,-2312.15
Rua 1128,-16.7016673,-49.2632366,2574.49,-876.84,-2419.06
Rua 1129,-16.7025266,-49.2625348,2640.86,-802.13,-2514.56
Rua 113,-16.6897447,-49.248871,1274.56,652.47,-1094.07
Rua 1130,-16.7026939,-49.2617255,2633.85,-715.98,-2533.15
Rua 1131,-16.7016573,-49.2592639,2461.56,-453.92,-2417.95
Rua 1132,-16.7028816,-49.2596474,2602.94,-494.75,-2554.01
Rua 1135,-16.6996286,-49.2574613,2209.33,-262.02,-2192.5
Rua 1136,-16.6988713,-49.2576522,2128.34,-282.34,-2108.34
Rua 1138,-16.7019299,-49.2545193,2450.15,51.17,-2448.25
Rua 1139,-16.7017967,-49.2561306,2437.78,-120.36,-2433.44
Rua 114,-16.6894669,-49.2459007,1439.1,968.68,-1063.2
Rua 1141,-16.7016407,-49.2544999,2418.04,53.24,-2416.11
Rua 1143,-16.7054937,-49.2590245,2877.99,-428.44,-2844.3
Rua 1144,-16.7065978,-49.2594805,3006.77,-476.98,-2967.01
Rua 1145,-16.7053243,-49.2586984,2854.36,-393.72,-2825.48
Rua 114A,-16.6897311,-49.2461051,1446.59,946.92,-1092.56
Rua 115,-16.6952529,-49.2456697,1975.35,993.27,-1706.21
Rua 115-E,-16.6923448,-49.2450599,1742.37,1058.19,-1383.03
Rua 115C,-16.6881896,-49.2459564,1333.24,962.75,-921.25
Rua 115F,-16.6931976,-49.245288,1804.56,1033.91,-1477.8
Rua 116,-16.6957405,-49.2471174,1951.25,839.16,-1760.4
Rua 118,-16.6938164,-49.2500203,1635.81,530.12,-1546.57
Rua 119,-16.6941585,-49.248152,1745.21,729.02,-1584.59
Rua 11B,-16.7596422,-49.345404,13088.57,-9624.12,-8861.99
Rua 12,-16.7438451,-49.196841,9429.79,6191.42,-7106.41
Rua 12 A,-16.6728359,-49.2656651,1381.14,-1135.37,785.05
Rua 12 Unidade 201,-16.7480967,-49.2007693,9532.01,5773.23,-7578.9
Rua 12 de Janeiro,-16.586988,-49.3192358,12392.51,-6838.34,10325.59
Rua 12 de Outubro,-16.6397511,-49.2966676,6295.46,-4435.8,4461.87
Rua 12-A,-16.6728359,-49.2656651,1381.14,-1135.37,785.05
Rua 122,-16.6998489,-49.2521026,2239.58,308.45,-2216.98
Rua 124,-16.6899568,-49.2549173,1118.3,8.8,-1117.64
Rua 126,-16.6917192,-49.2561685,1320.12,-124.39,-1313.5
Rua 13,-16.7452825,-49.1979849,9472.32,6069.65,-7266.15
Rua 13 A,-16.6710504,-49.2660129,1531.15,-1172.4,983.48
Rua 13 de Maio,-16.690994,-49.353306,10543.29,-10465.35,-1232.91
Rua 131,-16.6958405,-49.2564688,1779.39,-156.36,-1771.51
Rua 132,-16.693729,-49.2589071,1593.03,-415.94,-1536.86
Rua 135,-16.7005879,-49.2536176,2305.1,147.17,-2299.11
Rua 137,-16.6982476,-49.2619793,2171.37,-742.99,-2039.02
Rua 137-A,-16.6987735,-49.262205,2234.55,-767.02,-2097.47
Rua 138,-16.6974017,-49.2617265,2073.79,-716.08,-1945.02
Rua 139,-16.6967255,-49.2618206,2007.0,-726.1,-1869.87
Rua 14,-16.7432317,-49.1958259,9450.22,6299.49,-7038.24
Rua 14 Unidade 201,-16.7432317,-49.1958259,9450.22,6299.49,-7038.24
Rua 14-A,-16.6697311,-49.2664753,1665.13,-1221.62,1130.1
Rua 140,-16.6960742,-49.2620685,1949.71,-752.49,-1797.49
Rua 141,-16.6947887,-49.2633891,1881.29,-893.08,-1654.63
Rua 142,-16.6951935,-49.2612875,1827.67,-669.35,-1699.61
Rua 143,-16.6925156,-49.2616785,1572.84,-710.97,-1402.01
Rua 143-A,-16.6925156,-49.2616785,1572.84,-710.97,-1402.01
Rua 144,-16.6956372,-49.2633524,1963.05,-889.17,-1748.92
Rua 145,-16.6959898,-49.2627089,1968.52,-820.67,-1788.11
Rua 146,-16.6955613,-49.2612003,1862.47,-660.06,-1740.49
Rua 147,-16.6946941,-49.260664,1752.16,-602.97,-1644.11
Rua 148,-16.6946987,-49.2599115,1726.69,-522.86,-1644.62
Rua 15,-16.7388038,-49.1892191,9590.57,7002.83,-6546.15
Rua 15 A,-16.6663964,-49.2713132,2296.55,-1736.65,1500.69
Rua 15 Unidade 207,-16.7388038,-49.1892191,9590.57,7002.83,-6546.15
Rua 15 de Novembro,-16.5962788,-49.3199906,11593.11,-6918.69,9293.07
Rua 16,-16.6589096,-49.2823787,3735.41,-2914.65,2332.73
Rua 16 A,-16.6748507,-49.270309,1724.63,-1629.75,561.14
Rua 16 de Maio,-16.6011767,-49.3233281,11384.98,-7273.99,8748.75
Rua 17,-16.6895969,-49.2712077,2035.4,-1725.42,-1077.65
Rua 17 A,-16.6700265,-49.2674704,1723.32,-1327.56,1097.27
Rua 17 de Março,-16.5997058,-49.3219016,11415.73,-7122.13,8912.22
Rua 17-B,-16.6657923,-49.2691132,2172.76,-1502.45,1567.83
Rua 18,-16.6779595,-49.2547664,217.2,24.87,215.65
Rua 18 A,-16.6708774,-49.2681776,1725.34,-1402.85,1002.71
Rua 18 Unidade 201,-16.746289,-49.2009102,9363.67,5758.23,-7378.01
Rua 18 de Dezembro,,,,,
Rua 18 de Outubro,-16.5979512,-49.3209869,11509.01,-7024.76,9107.21
Rua 19,-16.7485453,-49.2033152,9410.63,5502.2,-7628.75
Rua 19 Unidade 203,-16.7452124,-49.19633390000001,9580.08,6245.41,-7258.36
Rua 19 de Novembro,-16.6416272,-49.2965502,6140.25,-4423.3,4253.37
Rua 19B,-16.7553978,-49.3453767,12771.45,-9621.22,-8390.29
Rua 1º de Janeiro,-16.6736217,-49.2060622,5259.29,5209.76,697.73
Rua 2,-16.7415448,-49.1920715,9586.44,6699.17,-6850.77
Rua 2 B,-16.7302389,-49.2173213,6887.26,4011.16,-5594.31
Rua 2 Unidade 301,-16.7415448,-49.1920715,9586.44,6699.17,-6850.77
Rua 2-B,-16.7302389,-49.2173213,6887.26,4011.16,-5594.31
Rua 2-C,-16.7301435,-49.2178578,6845.46,3954.04,-5583.71
Rua 20,-16.6746241,-49.2530642,621.84,206.08,586.33
Rua 20 de Março,-16.6286419,-49.301753,7569.18,-4977.18,5696.46
Rua 20-A,-16.6710329,-49.2563032,995.7,-138.73,985.43
Rua 200,-16.6653138,-49.2495423,1722.95,581.01,1621.01
Rua 201,-16.6698028,-49.248736,1306.06,666.85,1122.13
Rua 201 Unidade 201,-16.7480967,-49.2007693,9532.01,5773.23,-7578.9
Rua 2011 Unidade 201,-16.7507633,-49.2000771,9813.29,5846.92,-7875.25
Rua 202,-16.6694398,-49.2478236,1391.83,763.98,1162.47
Rua 203 Unidade 203,-16.7460282,-49.1960067,9671.61,6280.24,-7349.02
Rua 2032 Unidade 203,-16.7450833,-49.1940638,9728.77,6487.08,-7244.01
Rua 205,-16.6768026,-49.2901602,3760.96,-3743.04,344.22
Rua 205 Unidade 205,-16.7420295,-49.1918595,9640.78,6721.74,-6904.63
Rua 2051 Unidade 205,-16.7433016,-49.1921767,9719.34,6687.97,-7046.01
Rua 206,-16.6644471,-49.2424684,2175.86,1334.07,1717.33
Rua 207,-16.6637182,-49.2418514,2280.19,1399.76,1798.33
Rua 2071,-16.7412755,-49.1908467,9656.9,6829.56,-6820.84
Rua 2071 Unidade 207,-16.7409124,-49.1918521,9552.73,6722.53,-6780.49
Rua 208,-16.6642957,-49.2409329,2292.59,1497.54,1734.15
Rua 21,-16.7467623,-49.203882,9214.77,5441.86,-7430.6
Rua 21 de Abril,-16.5958717,-49.3167438,11426.88,-6573.05,9338.31
Rua 210,-16.6761644,-49.2851391,3237.1,-3208.51,415.15
Rua 210-A,-16.6601049,-49.2447832,2455.47,1087.65,2199.89
Rua 211,-16.6786166,-49.2906325,3798.13,-3793.32,142.63
Rua 217,-16.6865434,-49.2409139,1672.37,1499.56,-738.3
Rua 218,-16.6823502,-49.2378319,1848.85,1827.66,-272.3
Rua 219,-16.6850131,-49.2414889,1547.37,1438.35,-568.23
Rua 21B,-16.7554435,-49.3422812,12528.3,-9291.68,-8395.37
Rua 22,-16.7427505,-49.1963123,9375.81,6247.71,-6984.76
Rua 22 de Abril,-16.7366273,-49.2202568,7312.96,3698.65,-6304.27
Rua 220,-16.6842372,-49.242691,1396.98,1310.38,-482.01
Rua 221,-16.6804425,-49.2403145,1565.4,1563.37,-60.29
Rua 222,-16.682798,-49.2439508,1220.23,1176.26,-322.06
Rua 225,-16.662839,-49.2476307,2053.09,784.51,1896.04
Rua 225-B,-16.6705553,-49.2391776,1979.95,1684.4,1038.5
Rua 226,-16.6721766,-49.2419175,1636.91,1392.72,858.32
Rua 227,-16.6713871,-49.2429367,1595.99,1284.22,946.06
Rua 227-A,-16.6720017,-49.2413433,1699.25,1453.85,877.76
Rua 228,-16.6799384,-49.2356364,2062.54,2061.39,-4.27
Rua 228-B,-16.680063,-49.2344899,2184.73,2183.44,-18.11
Rua 229,-16.6735015,-49.2462688,1170.97,929.5,711.08
Rua 229-A,-16.6726668,-49.2473065,1148.25,819.03,803.85
Rua 23,-16.6757175,-49.2617201,853.62,-715.4,464.81
Rua 23 A,-16.6690987,-49.2670377,1756.89,-1281.5,1200.38
Rua 23-A,-16.6690987,-49.2670377,1756.89,-1281.5,1200.38
Rua 230,-16.6663405,-49.2440948,1903.33,1160.93,1506.91
Rua 231,-16.6804413,-49.2785916,2513.6,-2511.49,-60.16
Rua 232,-16.6737653,-49.2484593,975.05,696.3,681.77
Rua 233,-16.6797809,-49.2482269,721.57,721.04,13.24
Rua 235,-16.6743496,-49.2435257,1369.2,1221.52,616.83
Rua 236,-16.6752468,-49.2825044,2975.04,-2928.03,517.12
Rua 239,-16.6784097,-49.2467683,892.34,876.32,165.62
Rua 24,-16.7444506,-49.2014382,9168.3,5702.02,-7173.7
Rua 240,-16.6825326,-49.2882546,3554.2,-3540.18,-292.57
Rua 240 A,-16.6831121,-49.2893948,3680.94,-3661.56,-356.97
Rua 240 B,-16.6829769,-49.2897267,3714.72,-3696.89,-341.94
Rua 241,-16.6513268,-49.2510253,3205.28,423.13,3175.42
Rua 242,-16.6807736,-49.2414552,1446.0,1441.94,-97.09
Rua 245,-16.6811331,-49.2803167,2700.11,-2695.14,-137.04
Rua 246,-16.6778272,-49.2826277,2951.83,-2941.16,230.36
Rua 248-B,-16.6795208,-49.2816222,2836.01,-2834.12,42.14
Rua 24B,-16.7499726,-49.3363841,11654.62,-8663.89,-7787.38
Rua 25,-16.655087,-49.2540597,2760.9,100.1,2757.54
Rua 25 A,-16.6686359,-49.2702072,2047.62,-1618.91,1251.81
Rua 25 de Dezembro,-16.6355241,-49.2980046,6733.17,-4578.13,4931.62
Rua 25 de Março,-16.6164514,-49.3283908,10531.19,-7812.95,7051.23
Rua 250,-16.6823548,-49.2827163,2964.81,-2950.59,-272.81
Rua 251,-16.6813062,-49.236346,1993.09,1985.85,-156.28
Rua 252,-16.6841584,-49.2364573,2031.04,1974.0,-473.25
Rua 254,-16.6814635,-49.2800543,2674.33,-2667.2,-173.76
Rua 255,-16.6832326,-49.2825698,2959.89,-2934.99,-370.36
Rua 256,-16.6732016,-49.2368558,2071.24,1931.57,744.41
Rua 257,-16.6850185,-49.2829337,3029.3,-2973.73,-568.83
Rua 258,-16.6834143,-49.2791367,2600.45,-2569.52,-390.55
Rua 259,-16.6774373,-49.2375419,1879.64,1858.53,273.69
Rua 25A,-16.6686359,-49.2702072,2047.62,-1618.91,1251.81
Rua 26,-16.6930644,-49.267859,2004.66,-1368.93,-1463.0
Rua 260,-16.6781701,-49.2391894,1695.04,1683.15,192.25
Rua 261,-16.6753177,-49.2369531,1988.69,1921.22,509.24
Rua 261-A,-16.6782156,-49.23632,1998.53,1988.61,187.19
Rua 261-B,-16.6757503,-49.2352351,2155.28,2104.11,461.17
Rua 262,-16.6758155,-49.2343228,2248.82,2201.23,453.92
Rua 265-A,-16.6729653,-49.2361886,2147.01,2002.6,770.67
Rua 265-B,-16.6703267,-49.2381261,2088.96,1796.34,1063.91
Rua 26B,-16.7492948,-49.3360928,11581.22,-8632.88,-7712.05
Rua 27,-16.6941092,-49.2715019,2363.41,-1756.74,-1579.11
Rua 27 A,-16.6718742,-49.27347,2160.34,-1966.26,891.93
Rua 27 de Setembro,-16.6001652,-49.3267329,11705.24,-7636.46,8861.16
Rua 27-B,-16.6957132,-49.2395513,2408.18,1644.62,-1757.37
Rua 270,-16.6817655,-49.286101,3319.23,-3310.91,-207.32
Rua 271,-16.6833898,-49.2860972,3334.98,-3310.51,-387.83
Rua 28,-16.6937487,-49.2673752,2027.0,-1317.42,-1539.05
Rua 28 A,-16.6727432,-49.2732441,2099.96,-1942.21,795.36
Rua 29,-16.6789502,-49.2619287,745.54,-737.61,105.55
Rua 29 A,-16.6768371,-49.273582,2008.39,-1978.18,340.39
Rua 29 de Dezembro,-16.5884695,-49.3176142,12159.87,-6665.71,10160.94
Rua 3,-16.7504757,-49.2004969,9760.98,5802.23,-7843.29
Rua 3 B,-16.5839303,-49.292326,11388.27,-3973.61,10665.4
Rua 3 Unidade 201,-16.7486388,-49.2023859,9477.24,5601.13,-7639.15
Rua 3 Unidade 205,-16.7428417,-49.1931011,9614.55,6589.56,-6994.9
Rua 3 Unidade 207,-16.7406123,-49.1901248,9659.77,6906.41,-6747.14
Rua 3-A,-16.6747829,-49.267045,1403.52,-1282.27,568.68
Rua 30,-16.6506187,-49.3378471,9406.69,-8819.64,3254.12
Rua 31,-16.6780048,-49.2609842,671.35,-637.06,210.62
Rua 31B,-16.7511685,-49.337609,11840.51,-8794.29,-7920.28
Rua 32,-16.6893726,-49.2373762,2152.49,1876.17,-1052.72
Rua 32 A,-16.6735482,-49.2735734,2100.69,-1977.27,705.89
Rua 33 A,-16.6530273,-49.2746841,3650.4,-2095.51,2986.44
Rua 33A,-16.6530273,-49.2746841,3650.4,-2095.51,2986.44
Rua 34,-16.6608862,-49.2756646,3052.11,-2199.89,2113.06
Rua 34-A,-16.6954061,-49.2667705,2131.81,-1253.05,-1723.24
Rua 35,-16.6616899,-49.2763772,3047.2,-2275.75,2023.74
Rua 36,-16.6964755,-49.2673643,2265.26,-1316.26,-1842.08
Rua 37,-16.6906937,-49.2356767,2382.57,2057.1,-1199.54
Rua 38,-16.6965465,-49.2661522,2199.36,-1187.23,-1849.97
Rua 39,-16.6927258,-49.2335828,2690.32,2280.01,-1425.37
Rua 3B,-16.668914,-49.3352095,8630.75,-8538.85,1220.91
Rua 4,-16.5997135,-49.3229146,11482.76,-7229.97,8911.36
Rua 4 A,-16.6721312,-49.2563205,875.23,-140.58,863.37
Rua 4 B,-16.6735417,-49.2558494,712.78,-90.42,706.62
Rua 4-B,-16.6735417,-49.2558494,712.78,-90.42,706.62
Rua 40,-16.6565976,-49.2734482,3252.02,-1963.94,2589.66
Rua 401,-16.6585007,-49.2401299,2858.5,1583.02,2378.17
Rua 402,-16.6591655,-49.2394898,2836.43,1651.17,2304.29
Rua 404,-16.6567381,-49.2373583,3188.21,1878.08,2574.05
Rua 408,-16.6577188,-49.239636,2960.03,1635.6,2465.06
Rua 41,-16.6558543,-49.2753482,3441.99,-2166.21,2672.27
Rua 42,-16.6468846,-49.3340249,9183.83,-8412.74,3669.1
Rua 44,-16.658652,-49.2581692,2386.67,-337.38,2361.35
Rua 46,-16.701563,-49.2383063,2993.97,1777.16,-2407.47
Rua 48,-16.6430017,-49.3338125,9344.53,-8390.13,4100.62
Rua 49,-16.7022359,-49.2373143,3117.18,1882.76,-2482.25
Rua 5,-16.6220323,-49.2638553,6503.38,-942.71,6431.01
Rua 5 A,-16.6763901,-49.2689719,1538.57,-1487.4,390.07
Rua 5 de Julho,-16.6367682,-49.2979843,6630.96,-4575.97,4793.36
Rua 50,-16.6433626,-49.3328847,9238.11,-8291.36,4060.51
Rua 504,-16.6673469,-49.2838066,3371.04,-3066.66,1395.06
Rua 51,-16.6638825,-49.2571731,1796.04,-231.34,1780.07
Rua 52,-16.703198,-49.2428399,2896.34,1294.53,-2589.18
Rua 53,-16.7009585,-49.2428628,2674.74,1292.09,-2340.29
